exbeerience.ch,CNAME,900,176.112.204.35.bc.googleusercontent.com,,Make cname
www.exbeerience.ch,CNAME,900,exbeerience.ch,,MIGRATE
filmstelle.ch,MX,86400,mc1.ethz.ch,,MIGRATE
filmstelle.ch,MX,86400,mc2.ethz.ch,,MIGRATE
filmstelle.ch,MX,86400,mc3.ethz.ch,,MIGRATE
filmstelle.ch,MX,86400,mc4.ethz.ch,,MIGRATE
filmstelle.ch,A,86400,129.132.119.38,,MIGRATE
guv.ch,CNAME,14400,176.112.204.35.bc.googleusercontent.com,,make cname to google cluster
www.guv.ch,CNAME,14400,guv.ch,,make cname to google cluster
hoenggergames.ch,MX,86400,mc1.ethz.ch,,MIGRATE
hoenggergames.ch,MX,86400,mc2.ethz.ch,,MIGRATE
hoenggergames.ch,MX,86400,mc3.ethz.ch,,MIGRATE
hoenggergames.ch,MX,86400,mc4.ethz.ch,,MIGRATE
hoenggergames.ch,CNAME,900,176.112.204.35.bc.googleusercontent.com,,MIGRATE
lists.hoenggergames.ch,CNAME,14400,idwebhost-236-60.ethz.ch,,MIGRATE
www.hoenggergames.ch,CNAME,86400,hoenggergames.ch,,MIGRATE
idealistic.ch,A,14400,129.132.119.8,is ded,MIGRATE
kulturstelle.ch,MX,86400,mc1.ethz.ch,,MIGRATE
kulturstelle.ch,MX,86400,mc2.ethz.ch,,MIGRATE
kulturstelle.ch,MX,86400,mc3.ethz.ch,,MIGRATE
kulturstelle.ch,MX,86400,mc4.ethz.ch,,MIGRATE
kulturstelle.ch,A,86400,46.101.120.15,,MIGRATE
lists.kulturstelle.ch,CNAME,14400,idwebhost-236-60.ethz.ch,,MIGRATE
polykum.ch,MX,86400,mc1.ethz.ch,,MIGRATE
polykum.ch,MX,86400,mc2.ethz.ch,,MIGRATE
polykum.ch,MX,86400,mc3.ethz.ch,,MIGRATE
polykum.ch,MX,86400,mc4.ethz.ch,,MIGRATE
polykum.ch,A,86400,129.132.119.8,,MIGRATE
www.polykum.ch,CNAME,86400,polykum.ch,,MIGRATE
polymun.ch,A,3600,104.248.139.93,,ETH Ticket für externe ip
www.polymun.ch,CNAME,3600,polymun.ch,,MIGRATE
sonafe.ch,MX,86400,mc1.ethz.ch,,MIGRATE
sonafe.ch,MX,86400,mc2.ethz.ch,,MIGRATE
sonafe.ch,MX,86400,mc3.ethz.ch,,MIGRATE
sonafe.ch,MX,86400,mc4.ethz.ch,,MIGRATE
sonafe.ch,CNAME,900,176.112.204.35.bc.googleusercontent.com,,MIGRATE
www.sonafe.ch,CNAME,900,sonafe.ch,,MIGRATE
vseth.ch,A,86400,129.132.119.44,,MIGRATE
www.vseth.ch,CNAME,86400,vseth.ch,,MIGRATE
vseth.ch,MX,86400,mc1.ethz.ch,,MIGRATE
vseth.ch,MX,86400,mc2.ethz.ch,,MIGRATE
vseth.ch,MX,86400,mc3.ethz.ch,,MIGRATE
vseth.ch,MX,86400,mc4.ethz.ch,,MIGRATE
gsuite.vseth.ch,MX,14400,aspmx.l.google.com,,MIGRATE
gsuite.vseth.ch,MX,14400,aspmx2.googlemail.com,,MIGRATE
gsuite.vseth.ch,MX,14400,aspmx3.googlemail.com,,MIGRATE
gsuite.vseth.ch,MX,14400,alt2.aspmx.l.google.com,,MIGRATE
gsuite.vseth.ch,MX,14400,alt1.aspmx.l.google.com,,MIGRATE
tq.vseth.ch,MX,86400,mc1.ethz.ch,,MIGRATE
tq.vseth.ch,MX,86400,mc2.ethz.ch,,MIGRATE
tq.vseth.ch,MX,86400,mc3.ethz.ch,,MIGRATE
tq.vseth.ch,MX,86400,mc4.ethz.ch,,MIGRATE
_autodiscover._tcp.vseth.ch,SRV,14400,mail.ethz.ch,,MIGRATE
vseth.ch,TXT,14400,google-site-verification=NOZjTZ37qvLf4hRzDj9ftKDLQgmB14fbwf8g4-YgkDE,,MIGRATE
vseth.org,CNAME,3600,vseth.ethz.ch,,MIGRATE
www.vseth.org,CNAME,3600,vseth.ethz.ch,,MIGRATE
winafe.ch,MX,14400,mc1.ethz.ch,,MIGRATE
winafe.ch,MX,14400,mc2.ethz.ch,,MIGRATE
winafe.ch,MX,14400,mc3.ethz.ch,,MIGRATE
winafe.ch,MX,14400,mc4.ethz.ch,,MIGRATE
winafe.ch,CNAME,900,176.112.204.35.bc.googleusercontent.com,,MIGRATE
www.winafe.ch,CNAME,900,winafe.ch,,MIGRATE
vis.ch,MX,,mail-gateway-1.vis.ethz.ch,,MIGRATE
vis.ch,MX,,mail-gateway-2.vis.ethz.ch,,MIGRATE
kontaktparty.ch,MX,,mail-gateway-1.vis.ethz.ch,,MIGRATE
kontaktparty.ch,MX,,mail-gateway-2.vis.ethz.ch,,MIGRATE
